Type,Title,Content,Actors,תעדוף,ערך,מורכבות,כאב,אפיון,ערבה
SubSubStage,דיווח חלפים,"ארבע קטגוריות חלפים: מקוריים (היקרים ביותר), תואמים/OEM (מאותו קבלן משנה), חלופיים (כ-50% ממחיר מקורי), ומפירוק. פסיקת בתי המשפט קובעת ברירת מחדל של חלפים מקוריים. 
סעיף 142 לחוק 2016 מבטיח את זכות הצרכן לתקן בכל מוסך לפי בחירתו. 
נושא מוסכי ההסדר — חברות ביטוח שיצרו רשימות מוסכים בהנחות עמוקות, לעיתים על חשבון איכות — נותר אתגר רגולטורי.","מוסכים (מורשים, הסדר); חברות ביטוח; ספקי חלפים",9,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB35,"כשמוסך מדווח טיפול לערבה, הדיווח כולל רישום מפרט חלפים שהותקנו.

ערבה מתעדת את סוג החלפים (מקוריים, תואמים, חלופיים, מפירוק) כחלק מהיסטוריית הטיפולים, מה שמאפשר שקיפות מלאה לקונה עתידי על איכות התחזוקה."
SubSubStage,אישור דיגיטלי,"חובת דיווח דיגיטלי מכל מוסך מורשה על כל ביקור, כולל קריאת קילומטראז' מדויקת למאבק בזיופי מד אוץ, ורישום מפרט חלפים וליקויים בטיחותיים. אישורי בטיחות (כמו אישור בלמים) משודרים דיגיטלית ישירות למכון הרישוי ללא ניירת.",מוסכים; משרד התחבורה,7,3,2,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB36,"חובת דיווח דיגיטלי מכל מוסך על כל ביקור, כולל קריאת קילומטראז' מדויקת למאבק בזיופי מד אוץ.

אישורי בטיחות (כמו אישור בלמים) משודרים דיגיטלית ישירות למכון הרישוי — ללא ניירת. 

זהו רכיב חשוב שמחבר בין עולם המוסכים לעולם הטסט, ומייצר את גרף הנסועה הרציף שהוא עמוד השדרה של אמינות ערבה."
SubStage,תאונות ואובדן גמור,"תאונה חמורה יכולה לשנות את סטטוס הרכב לצמיתות. כשהנזק מגיע לסף מסוים, הרכב מוכרז כאובדן גמור ומפסיק להתקיים כישות משפטית. גם נזק שמתחת לסף עלול לדרוש מעבר דרך שער בטיחות רשמי.",שמאי רכב; חברות ביטוח; משרד הרישוי; מפעלים בודקים; מוסכים מורשים; יחידת אתגר,7,3,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB37,"תאונות ואובדן גמור נוגעים לממשק שמאים, היסטוריה ותביעות, וגם בקרות אוטומטיות. 

ערבה קולטת דיווחי שמאים ותביעות ביטוח, מצליבה ביניהם, וחוסמת אוטומטית רכבי אובדן גמור.

כיום פחות מ-10% מהשמאים מדווחים על נזקים בטיחותיים — ערבה תעלה את אחוז הדיווח ל-85% ומבטיחה שרכב עם נזק בטיחותי שלא טופל נחסם אוטומטית מטסט."
SubSubStage,אובדן גמור,"כשהשמאי קובע שעלות התיקון מגיעה ל-60% ומעלה משווי הרכב (תקנה 266), הרכב מוכרז כאובדן גמור, טוטאל לוסט.
השמאי חייב לדווח למשרד הרישוי תוך 15 ימים, לצרף ולהשמיד את רישיון הרכב. הרישום מבוטל לצמיתות — הרכב לא יחזור לעולם לכביש.",שמאי רכב; משרד הרישוי,7,3,1,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB38,"דיווח השמאי על אובדן גמור נועל את הרכב במערכת באופן בלתי הפיך — הרישום מבוטל לצמיתות.

ערבה מבטיחה שהדיווח מגיע ישירות לאגם ושהחסימה האוטומטית מופעלת מיד — למניעת מצב שרכב אובדן גמור חוזר לכביש."
SubSubStage,אובדן להלכה,"אובדן להלכה (כ-45%-59%) מאפשר תיקון, אך חושף בעיה ידועה: רכבים מועברים למוסכים לא מורשים — כולל בשטחי הרשות הפלסטינית — לתיקון בחלפים גנובים. 
יחידת אתגר (חקירות גניבת רכב) עורכת פשיטות נגד תופעה זו.",יחידת אתגר; מוסכים לא מורשים,7,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB39,"אובדן להלכה הוא ""האזור האפור"" שבו ערבה מספקת ערך חשוב. 

רכבים שתוקנו לאחר אובדן להלכה — לעיתים במוסכים לא מורשים בחלפים גנובים — חייבים לעבור שער בטיחות רשמי.

ערבה מתעדת את ההכרזה על אובדן להלכה, עוקבת אחר מסלול התיקון, ומוודאת שהרכב עבר אישור מפעל בודק לפני שחוזר לכביש. 

הצלבה אוטומטית עם דיווחי ביטוח מאפשרת זיהוי הונאות."
SubSubStage,נזק בטיחותי,"גם נזק שאינו מגיע לסף ה-60% עלול לדרוש שער בטיחות רשמי. 
תקנה 309: רכב שעבר תאונה עם נזק מהותי לשלדה, מתלים או כריות אוויר חייב לעבור: תיקון במוסך מורשה, אישור מפעל בודק, ורישום הערה ברישיון הרכב. 
ההערה משפיעה על שווי הרכב ועל שקיפות כלפי קונים עתידיים.",מוסך מורשה; מפעל בודק; משרד הרישוי,8,3,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB40,"על אף חובת דיווח, פחות מ-10% מהמקרים מדווחים בפועל, בגלל ניגוד עניינים מובנה, שמאי שמדווח הרבה מסכן את הקשר עם חברת הביטוח.

ערבה מחייבת 100% דיווח דיגיטלי ישירות לאגם, חוסמת אוטומטית רכב עם נזק בטיחותי מטסט, ומעלה את אחוז הדיווח מפחות מ-10% ל-85%. זהו אחד השינויים המשמעותיים בבטיחות הרכב בישראל."
SubSubStage,ביטוח,"ביטוח חובה הוא תנאי הכרחי להפעלת רכב בישראל. 
הוא מוסדר בפקודת ביטוח רכב מנועי (1970) ובחוק הפיצויים לנפגעי תאונות דרכים (1975). 
הפעלת רכב ללא ביטוח חובה היא עבירה פלילית. רכב חדש לא יימסר ללקוח ללא ביטוח חובה בתוקף.
מכסה נזקי גוף בלבד — לנהג, נוסעים והולכי רגל — ללא תלות באשמה (no-fault) וללא תקרת כיסוי. 
כ-14 חברות ביטוח פועלות בענף. רשות שוק ההון מפקחת ומפעילה את הר הביטוח ואת מחשבון ביטוח הרכב.
ביטוח מקיף אינו חובה אך נפוץ מאוד. מכסה נזק לרכב המבוטח ונזקי רכוש של צד שלישי. 
פוליסות מקיף לרוב מותנות בהתקנת אמצעי אבטחה — קודניות, אימובילייזר, מערכות איתור — במיוחד ברכבי יוקרה.
הפול הוא מבטח של מוצא אחרון, בבעלות משותפת של כל חברות הביטוח. 
מבטח נהגים ורכבים שאף חברה מוכנה לבטח: בעלי עבר תאונות חמור, אופנועים, ורכבים בסיכון גבוה. 
קרנית מפצה על נזקי גוף כשאין מבטח: פגע-וברח, רכב ללא ביטוח, נהיגה ללא רישיון, או חדלות פירעון של חברת ביטוח. 
קרנית זכאית לתביעת שיפוי מהנהג הלא מבוטח.","חברות ביטוח (הפניקס, מנורה מבטחים, מגדל, הראל, כלל, ביטוח ישיר, שלמה, שומרה, איילון); הפול; קרנית; רשות שוק ההון",1,2,1,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB41,"כיום הבוחן במכון הרישוי מסתכל על אישור נייר שהאזרח הביא, ללא אימות בזמן אמת — כ-5% מהרכבים נכנסים לטסט עם ביטוח פגום.

ערבה מחברת את מכוני הרישוי להר הביטוח: 100% מפתיחות הטסט כוללות שאילתה אוטומטית, 0 רכבים עוברים טסט ללא ביטוח בתוקף מאומת. "
SubSubStage,שמאות רכב,"שמאי רכב מוסמך מעריך עלויות תיקון, קובע שווי שוק, מחשב ירידת ערך, ומספק חוות דעת לבתי משפט ולביטוח. 
המקצוע מוסדר בצו הפיקוח (שמאי רכב) 1980 ובחוק 2016. חוק 2016 מחייב עצמאות מוחלטת של השמאי — אוסר השפעה מצד חברות ביטוח, ואוסר שומה על סמך תמונות בלבד.
דרישות הסמכה: 12 שנות השכלה, תעודה מקצועית (סוג 2) במכונאות רכב, שנת התמחות, ובחינות. רישיון תקף ל-6 שנים. 
תקנות פברואר 2026 הרחיבו את איסור ניגוד העניינים: שמאי אינו יכול להיות במקביל בוחן רכב, מנהל מוסך, עובד ביטוח, סוחר רכב, או מתווך חלפים.
דיווחי שמאים על נזק בטיחותי או אובדן גמור משודרים ישירות לאגם הרכב ונועלים במערכת באופן בלתי הפיך. 
חסימה אוטומטית מופעלת על רכבי אובדן גמור למניעת העברת בעלות או טסט. המערכת מצליבה אוטומטית בין דיווחי שמאים לתביעות ביטוח לאיתור הונאות והסתרת נזקים.",משרד התחבורה; שמאי רכב מוסמכים; חברות ביטוח; בתי משפט,10,3,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB42,"דיווחי שמאים על נזק בטיחותי או אובדן גמור משודרים ישירות לאגם הרכב ונועלים במערכת באופן בלתי הפיך.

חסימה אוטומטית מופעלת על רכבי אובדן גמור למניעת העברת בעלות או טסט. המערכת מצליבה אוטומטית בין דיווחי שמאים לתביעות ביטוח לאיתור הונאות והסתרת נזקים.

תקנות 2026 הרחיבו את איסור ניגוד העניינים, ערבה מספקת את התשתית הדיגיטלית שמאפשרת אכיפה אפקטיבית של כללים אלה."
SubStage,קריאות חוזרות,"כשיצרן מגלה תקלה סדרתית, הוא מכריז על ריקול עולמי. בישראל, היבואן חייב לאתר את כל הבעלים ולשלוח דרישה לתיקון חינם. 
האכיפה מהנוקשות בעולם: לפי תקנה 306א, בעל רכב שלא מטפל בריקול תוך 6 חודשים — הרכב נחסם. לא יעבור טסט, לא תתאפשר העברת בעלות. משרד התחבורה שולח תזכורת 45 ימים לפני הפקיעה.",יצרני רכב; יבואני רכב; משרד התחבורה; מוסכים מורשים,8,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB44,"קריאות חוזרות (ריקולים) הן מנגנון בטיחותי שערבה מתעדת ומנהלת. 

מנגנון החסימה, רכב שלא טופל תוך 6 חודשים נחסם מטסט ומהעברת בעלות, כבר קיים, ערבה מחזקת אותו.

ערבה מתעדת כל ריקול בתיק הרכב באגם, שולחת התראות אוטומטיות, ומוודאת שהחסימה נאכפת בכל המערכות. 

הנתונים משתקפים בפורטל הציבורי, קונה רכב משומש רואה אם יש ריקול פתוח."
SubSubStage,"הכרזה, איתור וחסימה","עם הכרזת ריקול עולמי, היבואן הישראלי מאתר את כל בעלי הרכבים המושפעים ושולח דרישת תיקון חינם. 
תקנה 306א: רכב שלא טופל תוך 6 חודשים נחסם — לא עובר טסט ולא ניתן להעביר בעלות. מנגנון החסימה מייצר ציות כמעט מוחלט לריקולים בישראל.",היבואן; משרד התחבורה; בעל הרכב,7,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB45,"הכרזה, איתור וחסימה של ריקולים הם תהליכים שערבה מתעדת ומנהלת. 

תקנה 306א מייצרת ציות כמעט מוחלט לריקולים בישראל, ערבה מחזקת את האכיפה הדיגיטלית.

ערבה מאפשרת לרגולטור לראות בזמן אמת כמה רכבים מושפעים מריקול מסוים, מי טיפל ומי לא, ולשלוח התראות ממוקדות, זהו שיפור משמעותי ביכולת הפיקוח."
SubSubStage,ביצוע תיקון והסרת חסימה,"לאחר ביצוע הריקול במוסך מורשה, המוסך מדווח מקוון ומסיר את החסימה לפי נוהל 152. התיקון חינם לבעל הרכב ומתועד במערכות המשרד.",מוסך מורשה; משרד התחבורה (מערכת רישוי),7,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB46,"המוסך המורשה מדווח מקוון על ביצוע הריקול ומסיר את החסימה, התהליך מתועד בערבה.

ערבה מבטיחה שהתיקון מתועד בתיק הרכב ושהחסימה מוסרת רק לאחר דיווח מאומת מהמוסך, למניעת הסרות חסימה ללא תיקון בפועל."
SubStage,שינויי מבנה,"תקנה 380 קובעת: לא ישנה אדם מבנה רכב אלא בהיתר בכתב מרשות הרישוי. כל שינוי — החלפת מנוע, בולמים, מתלים, ווי גרירה, ערכות הגבהה, הסבה לגפ""מ — מחייב מתקין מורשה, אישור הנדסי, בדיקה במכון רישוי, ובמקרים מסוימים אישור ממעבדה מוסמכת.",מתקינים מורשים; מכוני רישוי; מעבדות מוסמכות; רשות הרישוי,7,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB47,"כיום כל שרשרת האישור מנוהלת בנייר, מתקין, מכון רישוי, מעבדה, משרד רישוי, כולם ללא קישוריות דיגיטלית. 

כ-6,000 רכבים נפסלים מדי שנה בגין שינויים לא מאושרים.

ערבה מדגיטלת את כל השרשרת: 100% מהאישורים מגיעים דיגיטלית לבוחן, בעל הרכב לא צריך להגיע פיזית לעדכון רישיון, ומתקינים שלא מדווחים מזוהים אוטומטית תוך 30 יום."
SubSubStage,תהליך אישור שינוי מבנה,"כל שינוי מחייב מתקין מורשה, אישור הנדסי ובדיקה במכון רישוי. הסבה לגפ""מ (LPG) חייבת מוסך מורשה ובדיקת מפקח מהטכניון. שינויים מהותיים (החלפת מנוע, שינוי סיווג, מרכב ייעודי) דורשים אישור מעבדה מוסמכת. השינוי מתועד ברישיון הרכב.","מתקין מורשה; מכון רישוי; מעבדה מוסמכת; הטכניון (מפקח גפ""מ)",7,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB48,"כל שינוי שמחייב מתקין מורשה, אישור הנדסי ובדיקה — מתועד דיגיטלית בערבה.

ערבה מחברת את המתקין, המכון, המעבדה ומשרד הרישוי בשרשרת דיגיטלית אחת — ללא טופסי נייר, עם אימות בזמן אמת."
SubSubStage,שינויי מבנה דיגיטליים בערבה,"מתקינים מורשים ומעבדות מחויבים לדווח על כל שינוי מבנה דיגיטלית לאגם הרכב, ללא טופסי נייר. במכון הרישוי, הבוחן סורק את הרכב ומקבל אוטומטית אישורי מעבדה מאומתים למניעת שינויים פיראטיים.",מתקינים מורשים; מעבדות תקינה; משרד התחבורה,7,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB49,"מתקינים ומעבדות מדווחים דיגיטלית לאגם, והבוחן במכון הרישוי מקבל אוטומטית אישורים מאומתים.

המערכת מונעת שינויים פיראטיים, מתקין שמבצע שינוי ולא מדווח מזוהה אוטומטית תוך 30 יום על ידי השוואת נתוני טסט לרישומים באגם."
SubStage,העברת בעלות,"רכב בישראל מחליף בעלים מספר פעמים לאורך חייו. כל העברה היא רגע קריטי — משפטית (מי אחראי מרגע זה?) ומבחינת מידע (האם ההיסטוריה מועברת בשקיפות?). 
שוק היד שנייה מייצר מאות אלפי העברות בשנה. ליסינג — תפעולי ופיננסי — ממלא תפקיד הולך וגדל, כשחברות הליסינג הגדולות מנהלות ציים של עשרות אלפי רכבים דרך מערכות טלמטיקה. 
העברה מותנית ברכב נקי משעבודים, עיקולים, ריקולים פתוחים וטסט בתוקף.","משרד התחבורה (MyGov, רשות הרישוי); דואר ישראל; מוכר וקונה; חברות ליסינג; סוחרי רכב",7,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB50,"העברת בעלות קשורה לאגם הרכב וגם לאזור אישי לבעל רכב. כל העברה מתועדת באגם ומשתקפת בפורטל הציבורי.

ערבה מספקת את ""תעודת הזהות של הרכב"", מסמך מאומת שבעל רכב מציג לקונה פוטנציאלי עם כל ההיסטוריה: נסועה, בעלויות, תאונות, טיפולים, ביטוחים וסטטוס משפטי. זה מונע הסתרת מידע בעסקאות יד שנייה."
SubSubStage,העברת בעלות,"שלושה ערוצים פועלים במקביל: ערוץ מקוון (MyGov) — שני הצדדים מזדהים בו-זמנית, זמין 24/7, ניתן לביטול תוך 24 שעות. 
הערוץ הנוח והמהיר ביותר. ערוץ דואר ישראל — שני הצדדים מגיעים לסניף עם תעודות זהות, חלופה פנים-אל-פנים. 
ערוץ משרדי רשות הרישוי — למקרים מיוחדים: מוניות, רכבי נכים, רכבים עם שעבודים/עיקולים, רישיון שפג מעל 3 חודשים.",MyGov; דואר ישראל; רשות הרישוי; מוכר וקונה,8,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB51,"ערוצי העברת בעלות (MyGov, דואר, משרדי רישוי) הם ערוצים קיימים שערבה לא מחליפה אלא מעשירה. 

ערבה מוסיפה שכבת מידע לכל העברה, הקונה יכול לראות את ההיסטוריה המלאה של הרכב לפני שמבצע את ההעברה.

בפורטל ערבה, תעודת זהות הרכב המאומתת תהיה נגישה לכל אזרח בחינם, ללא תלות בשירותים פרטיים בתשלום.

מוכר הרכב יוכל לשלוח לקונה הפוטנציאלי את ""תעודת הזהות הדיגיטלית של הרכב"", שתהיה זמינה לקונה ל 24 שעות."
SubSubStage,חסמים להעברת בעלות,"מספר חסמים יכולים למנוע העברה: שעבודים, עיקולים, ריקולים פתוחים, טסט שפג מעל 3 חודשים. הקונה חייב לבדוק בשני מאגרים נפרדים — משרד הרישוי ורשם המשכונות — כדי לוודא שהרכב נקי. פער בין המאגרים עלול לחשוף את הקונה לעיקול פתאומי.",קונה; משרד הרישוי; רשם המשכונות,7,2,1,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB52,"חסמים להעברת בעלות הם בדיוק הבעיה שאגם הרכב פותר. 

כיום הקונה חייב לבדוק בשני מאגרים נפרדים, משרד הרישוי ורשם המשכונות, ופער בין המאגרים חושף לעיקול פתאומי.

ערבה מרכזת את כל המידע במקום אחד: שעבודים, עיקולים, ריקולים, טסט. הקונה רואה הכל בפורטל ערבה לפני שמחליט לרכוש."
SubSubStage,שעבודים ומימון,"רכישת רכב היא לרוב ההוצאה השנייה בגודלה של משקי בית, אחרי דיור. כשנלקחת הלוואה, נרשם שעבוד שמונע מכירת הרכב ללא ידיעת הגוף המממן. שוק המימון נחלק לבנקים (עד 100% מימון, פריסה עד 60 חודשים, לעיתים הלוואת בלון) ולגופים חוץ-בנקאיים (כרטיסי אשראי, חברות ביטוח).
שעבוד נרשם בשני מקומות נפרדים: רשם המשכונות במשרד המשפטים (השעבוד הקנייני, לרכבים משנת 1995+) ורישום מנהלי במשרד הרישוי למניעת העברת בעלות. הפיצול יוצר סיכון ממשי: לעיתים משכון תקף ברשם המשכונות אינו משתקף מיד במאגר משרד הרישוי, וקונים שלא בודקים בשני המאגרים עלולים להיחשף לעיקול פתאומי.
הסרת שעבוד אפשרית רק על ידי הגוף המממן, באופן מקוון. כל עוד השעבוד קיים, לא ניתן לבצע העברת בעלות. קונה חייב לבדוק בשני המאגרים — רשם המשכונות ומשרד הרישוי — כדי לוודא שהרכב נקי.","בנקים; גופים חוץ-בנקאיים (חברות אשראי, חברות ביטוח); רשם המשכונות (משרד המשפטים); משרד הרישוי",7,2,1,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB53,"שעבודים ומימון קשורים לאגם הרכב וגם לאזור האישי. הפיצול בין רשם המשכונות למשרד הרישוי יוצר סיכון ממשי, משכון תקף שלא משתקף במאגר הרישוי.

ערבה שואפת לרכז את מצב השעבודים במקום אחד, כך שהאזרח רואה תמונה מלאה ומדויקת של מצבו המשפטי של הרכב ללא צורך בבדיקה בשני מאגרים נפרדים."
Stage,גריטה ומחזור,"השלב האחרון במחזור חיי הרכב, וגם נקודת הכישלון הגדולה ביותר של המערכת בישראל. בתיאוריה, רכב שסיים את חייו אמור לעבור תהליך מוסדר. בפועל, רק 2.5% מהרכבים מגיעים למתקנים מורשים. כ-60% מפורקים באתרים בלתי חוקיים, ואלפים נוספים מועברים לשטחי הרשות הפלסטינית. הסיבה המרכזית: אין בישראל חוק אחריות יצרן מורחבת (EPR) לרכבים. בניגוד לדירקטיבה האירופית (2000/53/EC), אין חובה חוקית להביא רכב למתקן מורשה, אין יעדי מחזור, ואין אחריות כספית של יבואנים. התוצאה: 6 אתרי גריטה מורשים מול 402 לא חוקיים.",משרד התחבורה (אגף הרישוי); המשרד להגנת הסביבה; מגרשי גריטה מורשים; בעלי רכב; רשויות מקומיות,10,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB54,"רק 2.5% מהרכבים מגיעים למתקנים מורשים, 6 אתרים מורשים מול 402 לא חוקיים.

ערבה מחייבת דיווח דיגיטלי מכל מגרש גריטה מורשה תוך 24 שעות, חוסמת אוטומטית מספר רישוי של רכב שנגרט, ומסמנת כחריגה רכב שהוכרז טוטאל לוס ולא נגרט תוך 90 יום.

זה גם השלב שבו ערבה סוגרת את מעגל מחזור החיים, מרגע היצור ועד הגריטה, כל אירוע מתועד באגם הרכב הלאומי."
SubStage,ביטול רישום,"בעל הרכב מגיש בקשה לביטול רישום במשרד הרישוי — מקוון (דרך האזור האישי הממשלתי) או בלשכה — ומחזיר תעודת זהות, רישיון ולוחיות רישוי פיזית. תנאי הכרחי: הרכב חייב להיות נקי משעבודים, עיקולים וחובות. כל עוד הביטול לא בוצע, משרד הרישוי ממשיך לראות ברכב כפעיל, והאגרה נצברת כחוב פתוח עם קנסות וריבית.","בעל הרכב; משרד הרישוי (אזור אישי ממשלתי, לשכת רישוי)",10,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB55,"ביטול רישום הוא חלק ממודול גריטה. ערבה מבטיחה שביטול הרישום מתועד באגם ושהרכב מסומן כלא פעיל בכל המערכות.

כל עוד הביטול לא בוצע, המשרד ממשיך לראות ברכב כפעיל — ערבה מאפשרת זיהוי רכבים ""זומבים"" שפורקו פיזית אך נשארים רשומים."
SubSubStage,ביטול רישום והיתר נסיעה זמני,"לאחר ביטול הרישום, ניתן היתר נסיעה זמני (48 שעות עד שבוע) להגעה למגרש גריטה מורשה. ההיתר מוגבל בזמן ובמסלול. בערבה: דיווח מקוון ממגרש הפירוק בעת קליטת הרכב מפעיל סגר תפעולי מיידי — חוסם כל אפשרות להעברת בעלות או ביצוע טסט, ומונע תופעת ""רכבי זומבים"". בסיום התהליך מונפק אישור השמדה דיגיטלי שמשנה את הסטטוס ל""רכב שיצא משימוש"".",בעל הרכב; משרד הרישוי; מגרשי פירוק מורשים,10,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB56,"ביטול רישום והיתר נסיעה זמני הם חלק מרכיב 9 (מודול גריטה). בערבה: דיווח מקוון ממגרש הפירוק בעת קליטת הרכב מפעיל סגר תפעולי מיידי — חוסם כל אפשרות להעברת בעלות או ביצוע טסט.

זה מונע תופעת ""רכבי זומבים"" — רכבים שפורקו פיזית אך נשארים פעילים במערכת. בסיום מונפק אישור השמדה דיגיטלי."
SubStage,תהליך הגריטה המוסדר,"במגרש גריטה מורשה מתבצע תהליך מובנה: אימות מספרי זיהוי, סילוק חומרים מסוכנים, השמדת המנוע (נקודה שמבדילה בין גריטה מורשית לפירוק פיראטי), פירוק חלפים תקינים למכירה חוזרת, וגריסת המרכב למחזור מתכות. הרישוי מסומן כלא פעיל לצמיתות.",מגרשי גריטה מורשים; המשרד להגנת הסביבה,10,2,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB57,"ערבה מחייבת דיווח דיגיטלי מכל שלב: אימות זיהוי, סילוק חומרים מסוכנים, השמדת מנוע, פירוק חלפים, וגריסת מרכב.

הרישוי מסומן כלא פעיל לצמיתות באגם — סגירה דיגיטלית מוחלטת של מעגל חיי הרכב."
SubSubStage,סילוק חומרים מסוכנים,"סילוק נוזלים מסוכנים: דלקים, שמני מנוע וגיר, נוזלי קירור, חומצות מצבר. טיפול נאות קריטי למניעת זיהום קרקע ומי תהום. מגרשים מורשים מחויבים בנהלי סילוק מפוקחים.",מגרש גריטה מורשה; המשרד להגנת הסביבה,10,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB58,"סילוק חומרים מסוכנים הוא שלב בתהליך הגריטה שערבה מתעדת כחלק ממודול גריטה. הדיווח הדיגיטלי כולל אישור שהסילוק בוצע בהתאם לנהלים סביבתיים.

הקשר העיקרי לערבה הוא בתיעוד ובפיקוח — מגרשים מורשים מחויבים לדווח שהסילוק בוצע כתנאי להשלמת תהליך הגריטה באגם."
SubSubStage,השמדת מנוע ומחזור מתכות,"השמדת המנוע מונעת חזרה של הרכב לשימוש. חלפים תקינים מפורקים למכירה חוזרת, והמרכב נגרס למחזור מתכות. הרישוי מסומן כלא פעיל לצמיתות — לא ניתן לבצע טסטים, העברות בעלות, או חידושי רישיון.",מגרש גריטה מורשה,10,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB59,"השמדת מנוע היא נקודת האל-חזור בתהליך הגריטה — ברגע שהמנוע הושמד, הרכב לא יכול לחזור לשימוש. ערבה מתעדת את ההשמדה כאירוע סופי באגם.

הרישוי מסומן כלא פעיל לצמיתות — לא ניתן לבצע טסטים, העברות בעלות, או חידושי רישיון. זו הסגירה הדיגיטלית של מחזור חיי הרכב בערבה."
